# id	filename	mode	download_url	install_group	source_label	source_page_url	install_cmd	summary	sha256
vcpp_aio	VisualCppRedist_AIO_x86_x64.exe	download	https://github.com/abbodi1406/vcredist/releases/download/v0.103.0/VisualCppRedist_AIO_x86_x64.exe	default	abbodi1406/vcredist full vc runtime aio v0.103.0	https://github.com/abbodi1406/vcredist/releases/tag/v0.103.0	install-vcpp-aio.cmd	Full VC and VCRun AIO repack covering the major 2005 2008 2010 2012 2013 2022 and 2026 runtime branches for x86 and x64
vcrun6sp6	VC6RedistSetup_enu.EXE	download	https://ftp.zx.net.nz/pub/archive/ftp.microsoft.com/developr/visual_c/visual-public/VC6RedistSetup_enu.EXE	default	archived ftp.microsoft.com visual c++ 6 redist	https://ftp.zx.net.nz/pub/archive/ftp.microsoft.com/developr/visual_c/visual-public/	install-vcrun6.cmd	Legacy Visual C++ 6 runtime bootstrap for classic 32-bit apps and installers	034b536cf61ab32911e395bec5755ca6ee4b5cc443cd0d582d016603962adfe1
wine_mono_11_0_0	wine-mono-11.0.0-x86.msi	download	https://dl.winehq.org/wine/wine-mono/11.0.0/wine-mono-11.0.0-x86.msi	default	winehq/wine-mono 11.0.0	https://dl.winehq.org/wine/wine-mono/11.0.0/	install-wine-web-stack.cmd	Wine Mono offline MSI package
wine_gecko_2_47_4_x86	wine-gecko-2.47.4-x86.msi	download	https://dl.winehq.org/wine/wine-gecko/2.47.4/wine-gecko-2.47.4-x86.msi	default	winehq/wine-gecko 2.47.4	https://dl.winehq.org/wine/wine-gecko/2.47.4/	install-wine-web-stack.cmd	Wine Gecko x86 offline MSI package
wine_gecko_2_47_4_x86_64	wine-gecko-2.47.4-x86_64.msi	download	https://dl.winehq.org/wine/wine-gecko/2.47.4/wine-gecko-2.47.4-x86_64.msi	default	winehq/wine-gecko 2.47.4	https://dl.winehq.org/wine/wine-gecko/2.47.4/	install-wine-web-stack.cmd	Wine Gecko x86_64 offline MSI package
dotnetfx35sp1	dotnetfx35.exe	download	https://go.microsoft.com/fwlink/?linkid=2186537	dotnet_framework	microsoft/.net framework 3.5 sp1	https://dotnet.microsoft.com/en-us/download/dotnet-framework/net35-sp1	install-dotnet-framework.cmd	Official Microsoft .NET Framework 3.5 SP1 offline installer covering the older 2.0/3.0/3.5 family many legacy launchers still require
dotnetfx40_full	dotNetFx40_Full_x86_x64.exe	download	https://download.microsoft.com/download/9/5/a/95a9616b-7a37-4af6-bc36-d6ea96c8daae/dotNetFx40_Full_x86_x64.exe	dotnet_framework	microsoft/.net framework 4.0 full	https://dotnet.microsoft.com/en-us/download/dotnet-framework/net40	install-dotnet-framework.cmd	Official Microsoft .NET Framework 4.0 Full redistributable for installers and launchers that fail without the older .NET 4 branch
dotnetfx48	ndp48-x86-x64-allos-enu.exe	download	https://go.microsoft.com/fwlink/?linkid=2088631	dotnet_framework	microsoft/.net framework 4.8 runtime	https://dotnet.microsoft.com/en-us/download/dotnet-framework/net48	install-dotnet-framework.cmd	Official Microsoft .NET Framework 4.8 offline runtime for later managed apps that still target the classic .NET Framework line
directx_jun2010	directx_Jun2010_redist.exe	download	https://download.microsoft.com/download/8/4/a/84a35bf1-dafe-4ae8-82af-ad2ae20b6b14/directx_Jun2010_redist.exe	directx	microsoft/directx 9.29.1974.1	https://www.microsoft.com/en-us/download/details.aspx?id=8109	install-directx-jun2010.cmd	June 2010 legacy DirectX redist from the official Microsoft download center
xnafx31_refresh	xnafx31_redist.msi	download	https://download.microsoft.com/download/5/9/1/5912526C-B950-4662-99B6-119A83E60E5C/xnafx31_redist.msi	xna	microsoft/xna 3.1	https://www.microsoft.com/en-us/download/details.aspx?id=15163	install-xna-framework.cmd	Microsoft XNA Framework Redistributable 3.1 for earlier XNA-era titles
